case_id,category,language,variant_id,source_fit,authority_source_present,course_record_present,top_title,top_source_type,source_type_counts
s30_001,language,en,R0_basic_hybrid,1,1,0,JLP Leaflet,pdf_document,"{""pdf_document"": 4, ""portal_notice"": 1}"
s30_002,registration,en,R0_basic_hybrid,1,1,0,ehandbook - Course Registration,ehandbook_page,"{""ehandbook_page"": 4, ""portal_notice"": 1}"
s30_003,registration,en,R0_basic_hybrid,1,1,1,ehandbook - Registration Withdrawal,ehandbook_page,"{""ehandbook_page"": 3, ""course_record"": 2}"
s30_004,major,en,R0_basic_hybrid,1,1,0,Graduate School - Credit Transfer,web_page,"{""web_page"": 4, ""pdf_document"": 1}"
s30_005,graduation,en,R0_basic_hybrid,1,1,1,ehandbook - Senior Thesis,ehandbook_page,"{""ehandbook_page"": 1, ""course_record"": 4}"
s30_006,student_status,en,R0_basic_hybrid,1,1,0,ICU Health Care Office for Students - Things to know before your hospital visit,web_page,"{""web_page"": 5}"
s30_007,student_support,en,R0_basic_hybrid,1,1,0,FD Newsletter Vol. 29,pdf_document,"{""pdf_document"": 1, ""web_page"": 4}"
s30_008,student_support,en,R0_basic_hybrid,1,1,0,LAS leaflet 2024.pdf,pdf_document,"{""pdf_document"": 1, ""web_page"": 4}"
s30_009,it,en,R0_basic_hybrid,1,1,0,Path after Graduation (Employment / Further School),pdf_document,"{""pdf_document"": 1, ""web_page"": 4}"
s30_010,language,ja,R0_basic_hybrid,1,1,0,自己点検・評価報告書（2009年）,pdf_document,"{""pdf_document"": 4, ""portal_notice"": 1}"
s30_011,campus_life,en,R0_basic_hybrid,1,1,0,宗務センター Religious Center - CHAPEL HOUR,web_page,"{""web_page"": 4, ""pdf_document"": 1}"
s30_012,calendar,en,R0_basic_hybrid,1,1,0,AY2026 Spring Term Registration – Course Registration Procedures,portal_notice,"{""portal_notice"": 4, ""portal_calendar_event"": 1}"
s30_013,credits,en,R0_basic_hybrid,1,1,0,ehandbook - Transfer Students,ehandbook_page,"{""ehandbook_page"": 3, ""web_page"": 1, ""pdf_document"": 1}"
s30_014,office,ja,R0_basic_hybrid,1,1,0,ehandbook - 2024.3.29 教務グループからの重要なお知らせ（春学期登録版）,ehandbook_page,"{""ehandbook_page"": 5}"
s30_015,policy,en,R0_basic_hybrid,1,1,0,A survey result on the use of ICU Portal is available,portal_notice,"{""portal_notice"": 4, ""web_page"": 1}"
