anchor_layer,anchor_model,linear_cka,model,model_layer
f075,Qwen/Qwen3.5-4B,0.960865856078904,Qwen/Qwen3.5-0.8B,f075
f090,Qwen/Qwen3.5-4B,0.946385525498805,Qwen/Qwen3.5-0.8B,f075
f100,Qwen/Qwen3.5-4B,0.859977935755613,Qwen/Qwen3.5-0.8B,f075
final,Qwen/Qwen3.5-4B,0.859977935755613,Qwen/Qwen3.5-0.8B,f075
f075,Qwen/Qwen3.5-4B,0.8666862659957787,Qwen/Qwen3.5-0.8B,f090
f090,Qwen/Qwen3.5-4B,0.9835735752556475,Qwen/Qwen3.5-0.8B,f090
f100,Qwen/Qwen3.5-4B,0.9657893627009413,Qwen/Qwen3.5-0.8B,f090
final,Qwen/Qwen3.5-4B,0.9657893627009413,Qwen/Qwen3.5-0.8B,f090
f075,Qwen/Qwen3.5-4B,0.7355497118679261,Qwen/Qwen3.5-0.8B,f100
f090,Qwen/Qwen3.5-4B,0.9384022508233613,Qwen/Qwen3.5-0.8B,f100
f100,Qwen/Qwen3.5-4B,0.9917530536135669,Qwen/Qwen3.5-0.8B,f100
final,Qwen/Qwen3.5-4B,0.9917530536135669,Qwen/Qwen3.5-0.8B,f100
f075,Qwen/Qwen3.5-4B,0.7355497118679261,Qwen/Qwen3.5-0.8B,final
f090,Qwen/Qwen3.5-4B,0.9384022508233613,Qwen/Qwen3.5-0.8B,final
f100,Qwen/Qwen3.5-4B,0.9917530536135669,Qwen/Qwen3.5-0.8B,final
final,Qwen/Qwen3.5-4B,0.9917530536135669,Qwen/Qwen3.5-0.8B,final
f075,Qwen/Qwen3.5-4B,0.9790738967405923,Qwen/Qwen3.5-2B,f075
f090,Qwen/Qwen3.5-4B,0.9433915525879901,Qwen/Qwen3.5-2B,f075
f100,Qwen/Qwen3.5-4B,0.8406667526091576,Qwen/Qwen3.5-2B,f075
final,Qwen/Qwen3.5-4B,0.8406667526091576,Qwen/Qwen3.5-2B,f075
f075,Qwen/Qwen3.5-4B,0.8790535015249189,Qwen/Qwen3.5-2B,f090
f090,Qwen/Qwen3.5-4B,0.9894178175334845,Qwen/Qwen3.5-2B,f090
f100,Qwen/Qwen3.5-4B,0.9666716354089233,Qwen/Qwen3.5-2B,f090
final,Qwen/Qwen3.5-4B,0.9666716354089233,Qwen/Qwen3.5-2B,f090
f075,Qwen/Qwen3.5-4B,0.7137961697011201,Qwen/Qwen3.5-2B,f100
f090,Qwen/Qwen3.5-4B,0.9287772030220064,Qwen/Qwen3.5-2B,f100
f100,Qwen/Qwen3.5-4B,0.9918425039025481,Qwen/Qwen3.5-2B,f100
final,Qwen/Qwen3.5-4B,0.9918425039025481,Qwen/Qwen3.5-2B,f100
f075,Qwen/Qwen3.5-4B,0.7137961697011201,Qwen/Qwen3.5-2B,final
f090,Qwen/Qwen3.5-4B,0.9287772030220064,Qwen/Qwen3.5-2B,final
f100,Qwen/Qwen3.5-4B,0.9918425039025481,Qwen/Qwen3.5-2B,final
final,Qwen/Qwen3.5-4B,0.9918425039025481,Qwen/Qwen3.5-2B,final
